package	before	after
Cabal	yes	yes
Cabal-syntax	yes	yes
HUnit	yes	yes
OneTuple	yes	yes
Only	yes	yes
QuickCheck	yes	no
RSA	yes	yes
SHA	yes	yes
StateVar	yes	yes
adjunctions	yes	yes
aeson	yes	yes
ansi-terminal	yes	yes
ansi-terminal-types	yes	yes
app-models	yes	yes
appar	yes	yes
array	yes	yes
asn1-encoding	yes	yes
asn1-parse	yes	yes
asn1-types	yes	yes
assoc	yes	yes
async	yes	yes
atomic-primops	yes	yes
attoparsec	yes	yes
attoparsec-aeson	yes	yes
authenticate-oauth	yes	yes
auto-update	yes	yes
base	yes	yes
base-orphans	yes	yes
base-unicode-symbols	yes	yes
base16-bytestring	yes	yes
base64-bytestring	yes	yes
basement	yes	yes
basic-prelude	yes	yes
bifunctors	yes	yes
binary	yes	yes
binary-parser	yes	yes
bitvec	yes	yes
blaze-builder	yes	yes
blaze-html	yes	yes
blaze-markup	yes	yes
bsb-http-chunked	yes	yes
byteable	yes	yes
bytebuild	yes	yes
byteorder	yes	yes
byteslice	yes	yes
bytesmith	yes	yes
bytestring	yes	yes
bytestring-builder	yes	yes
bytestring-strict-builder	yes	yes
bytestring-tree-builder	yes	yes
call-stack	yes	yes
case-insensitive	yes	yes
cborg	yes	yes
cereal	yes	yes
cereal-text	yes	yes
character-ps	yes	yes
charset	yes	yes
chunked-data	yes	yes
classy-prelude	yes	yes
clientsession	yes	yes
clock	yes	yes
colour	yes	yes
comonad	yes	yes
concise	yes	yes
conduit	yes	yes
conduit-extra	yes	yes
containers	yes	yes
contiguous	yes	yes
contravariant	yes	yes
cookie	yes	yes
countable-inflections	yes	yes
crypto-api	yes	yes
crypto-pubkey-types	yes	yes
cryptohash	yes	yes
cryptohash-md5	yes	yes
cryptohash-sha1	yes	yes
crypton	yes	yes
crypton-connection	yes	yes
crypton-socks	yes	yes
crypton-x509	yes	yes
crypton-x509-store	yes	yes
crypton-x509-system	yes	yes
crypton-x509-validation	yes	yes
cryptonite	yes	yes
cryptonite-conduit	yes	yes
data-default	yes	yes
data-default-class	yes	yes
data-fix	yes	yes
deepseq	yes	yes
digest	yes	yes
directory	yes	yes
distributive	yes	yes
dlist	yes	yes
dlist-instances	yes	yes
easy-file	yes	yes
entropy	yes	yes
exceptions	yes	yes
fast-logger	yes	yes
file-embed	yes	yes
filepath	yes	yes
free	yes	yes
fsnotify	yes	no
generically	yes	yes
ghc	yes	yes
ghc-bignum	yes	yes
ghc-boot	yes	yes
ghc-boot-th	yes	yes
ghc-compact	yes	yes
ghc-experimental	yes	yes
ghc-heap	yes	yes
ghc-internal	yes	yes
ghc-platform	yes	yes
ghc-prim	yes	yes
ghc-toolchain	yes	yes
ghci	yes	yes
half	yes	yes
hashable	yes	yes
haskeline	yes	yes
haskell-lexer	yes	yes
haskell-src-exts	yes	yes
haskell-src-meta	yes	yes
hasql	yes	yes
hasql-dynamic-statements	yes	yes
hasql-implicits	yes	yes
hasql-mapping	yes	yes
hasql-notifications	yes	yes
hasql-pool	yes	yes
hasql-postgresql-types	yes	yes
hasql-transaction	yes	yes
hinotify	yes	no
hourglass	yes	yes
hpc	yes	yes
hs-opentelemetry-api	yes	yes
hs-opentelemetry-exporter-otlp	yes	yes
hs-opentelemetry-instrumentation-wai	yes	yes
hs-opentelemetry-otlp	yes	yes
hs-opentelemetry-propagator-b3	yes	yes
hs-opentelemetry-propagator-datadog	yes	yes
hs-opentelemetry-propagator-w3c	yes	yes
hs-opentelemetry-sdk	yes	yes
hspec	yes	no
hspec-core	yes	no
hspec-discover	yes	no
hspec-expectations	yes	no
http-accept	yes	yes
http-client	yes	yes
http-client-tls	yes	yes
http-conduit	yes	yes
http-date	yes	yes
http-media	yes	yes
http-semantics	yes	yes
http-types	yes	yes
http2	yes	yes
ihp	yes	yes
ihp-context	yes	yes
ihp-hspec	yes	no
ihp-hsx	yes	yes
ihp-ide	yes	no
ihp-imagemagick	yes	yes
ihp-log	yes	yes
ihp-mail	yes	yes
ihp-migrate	yes	no
ihp-modal	yes	yes
ihp-pagehead	yes	yes
ihp-pglistener	yes	yes
