package	before	after
ihp-postgres-parser	yes	no
ihp-schema-compiler	yes	no
indexed-traversable	yes	yes
indexed-traversable-instances	yes	yes
inflections	yes	yes
ini	yes	yes
integer-conversion	yes	yes
integer-gmp	yes	yes
integer-logarithms	yes	yes
interpolate	yes	yes
invariant	yes	yes
ip	yes	yes
iproute	yes	yes
jose	yes	yes
jsonifier	yes	yes
kan-extensions	yes	yes
keys	yes	yes
lens	yes	yes
lens-aeson	yes	yes
lens-family	yes	yes
lens-family-core	yes	yes
lifted-base	yes	no
lucid2	yes	yes
megaparsec	yes	yes
memory	yes	yes
microlens	yes	yes
mime-mail	yes	yes
mime-mail-ses	yes	yes
mime-types	yes	yes
minio-hs	yes	yes
monad-control	yes	no
monad-logger	yes	no
monad-loops	yes	no
monad-time	yes	yes
mono-traversable	yes	yes
mono-traversable-instances	yes	yes
mtl	yes	yes
mtl-compat	yes	yes
mutable-containers	yes	yes
natural-arithmetic	yes	yes
neat-interpolation	yes	yes
network	yes	yes
network-bsd	yes	yes
network-byte-order	yes	yes
network-control	yes	yes
network-info	yes	yes
network-uri	yes	yes
old-locale	yes	yes
old-time	yes	yes
optparse-applicative	yes	yes
os-string	yes	yes
parallel	yes	yes
parsec	yes	yes
parser-combinators	yes	yes
pcre-utils	yes	yes
pem	yes	yes
pointed	yes	yes
postgresql-binary	yes	yes
postgresql-connection-string	yes	yes
postgresql-libpq	yes	yes
postgresql-libpq-pkgconfig	yes	yes
postgresql-simple	yes	yes
postgresql-simple-postgresql-types	yes	yes
postgresql-types	yes	yes
postgresql-types-algebra	yes	yes
pretty	yes	yes
prettyprinter	yes	yes
prettyprinter-ansi-terminal	yes	yes
primitive	yes	yes
primitive-addr	yes	yes
primitive-offset	yes	yes
primitive-unlifted	yes	yes
process	yes	yes
profunctors	yes	yes
proto-lens	yes	yes
proto-lens-runtime	yes	yes
psqueues	yes	yes
ptr	yes	yes
ptr-peeker	yes	yes
ptr-poker	yes	yes
pwstore-fast	yes	yes
quickcheck-io	yes	no
random	yes	yes
random-strings	yes	yes
recv	yes	yes
reflection	yes	yes
regex-base	yes	yes
regex-pcre-builtin	yes	yes
regex-tdfa	yes	yes
relude	yes	yes
resource-pool	yes	yes
resourcet	yes	yes
retry	yes	yes
rts	yes	yes
run-st	yes	yes
safe	yes	yes
safe-exceptions	yes	yes
say	yes	yes
scientific	yes	yes
semaphore-compat	yes	yes
semialign	yes	yes
semigroupoids	yes	yes
semigroups	yes	yes
serialise	yes	yes
setenv	yes	yes
simple-sendfile	yes	yes
singletons	yes	yes
skein	yes	yes
slugger	yes	yes
smtp-mail	yes	yes
split	yes	yes
splitmix	yes	yes
stm	yes	yes
stm-chans	yes	yes
streaming-commons	yes	yes
strict	yes	yes
strict-list	yes	yes
string-conversions	yes	yes
string-interpolate	yes	no
syb	yes	yes
system-cxx-std-lib	yes	yes
systemd	yes	yes
tagged	yes	yes
tasty	yes	yes
template-haskell	yes	yes
temporary	yes	yes
terminfo	yes	yes
text	yes	yes
text-builder	yes	yes
text-builder-core	yes	yes
text-conversions	yes	no
text-icu	yes	yes
text-iso8601	yes	yes
text-short	yes	yes
tf-random	yes	yes
th-abstraction	yes	yes
th-compat	yes	yes
th-env	yes	yes
th-expand-syns	yes	yes
th-lift	yes	yes
th-orphans	yes	yes
th-reify-many	yes	yes
these	yes	yes
thread-utils-context	yes	yes
thread-utils-finalizers	yes	yes
time	yes	yes
time-compat	yes	yes
time-locale-compat	yes	yes
time-manager	yes	yes
time-units	yes	yes
tls	yes	yes
transformers	yes	yes
transformers-base	yes	yes
transformers-compat	yes	yes
tuples	yes	yes
typed-process	yes	yes
typerep-map	yes	yes
tz	yes	yes
tzdata	yes	yes
unagi-chan	yes	yes
unix	yes	yes
unix-compat	yes	yes
unix-time	yes	yes
unlifted	yes	yes
unliftio	yes	yes
unliftio-core	yes	yes
unordered-containers	yes	yes
uri-encode	yes	yes
utf8-string	yes	yes
uuid	yes	yes
uuid-types	yes	yes
validation	yes	yes
vault	yes	yes
vector	yes	yes
vector-algorithms	yes	yes
vector-builder	yes	yes
vector-instances	yes	yes
vector-stream	yes	yes
void	yes	yes
wai	yes	yes
wai-app-static	yes	yes
wai-asset-path	yes	yes
wai-cors	yes	yes
wai-extra	yes	yes
wai-flash-messages	yes	yes
wai-logger	yes	yes
wai-request-params	yes	yes
wai-session-clientsession-deferred	yes	yes
wai-session-maybe	yes	yes
wai-util	yes	yes
wai-websockets	yes	yes
warp	yes	yes
warp-systemd	yes	yes
webauthn	yes	yes
websockets	yes	yes
wide-word	yes	yes
with-utf8	yes	yes
witherable	yes	yes
word-compat	yes	yes
word8	yes	yes
wreq	yes	yes
xhtml	yes	yes
xml-conduit	yes	yes
xml-types	yes	yes
zigzag	yes	yes
zip-archive	yes	yes
zlib	yes	yes
