module	package	reason
IHP.AuthSupport.Controller.Sessions	ihp	Web/Controller/Auth.hs via Main
IHP.AuthSupport.Lockable	ihp	Web/Controller/Sessions.hs via Main
IHP.Controller.Context	ihp	Web/FrontController.hs via Main
IHP.Controller.Param	ihp	Application/Helper/FrontendContract/Surface/Request.hs via Main
IHP.Controller.Render	ihp	Application/Helper/Profiling.hs via Main
IHP.Controller.Response	ihp	Application/Helper/Telemetry.hs via Main
IHP.Controller.Session	ihp	Web/FrontController.hs via Main
IHP.ControllerPrelude	ihp	Application/Helper/Feedback.hs via Main
IHP.ControllerSupport	ihp	Application/Helper/Profiling.hs via Main
IHP.EnvVar	ihp	Config/Config.hs via Main
IHP.Environment	ihp	Config/Config.hs via Main
IHP.Fetch	ihp	Application/Helper/LiveUpdate/DurableState.hs via Main
IHP.FrameworkConfig	ihp	Main.hs via Main
IHP.HaskellSupport	ihp	Application/RosterShiftAssignment.hs via Main
IHP.InputValue	ihp	Application/Helper/Passkeys.hs via Main
IHP.Job.Runner	ihp	Web/Worker.hs via Main
IHP.Job.Types	ihp	Main.hs via Main
IHP.LoginSupport.Helper.Controller	ihp	Web/FrontController.hs via Main
IHP.LoginSupport.Middleware	ihp	Web/FrontController.hs via Main
IHP.LoginSupport.Types	ihp	Web/Types.hs via Main
IHP.Mail	ihp-mail	Application/EmailDelivery.hs via Main
IHP.Mail.Types	ihp-mail	Config/Config.hs via Main
IHP.MailPrelude	ihp-mail	Web/Mail/Users/EmailVerification.hs via Main
IHP.ModelSupport	ihp	Web/Types.hs via Main
IHP.ModelSupport.Types	ihp	Application/Helper/LiveUpdate/DurableState.hs via Main
IHP.Prelude	ihp	Main.hs via Main
IHP.QueryBuilder	ihp	Application/Helper/LiveUpdate/DurableState.hs via Main
IHP.Router.UrlGenerator	ihp	Web/Controller/Prelude.hs via Main
IHP.RouterPrelude	ihp	Web/FrontController.hs via Main
IHP.RouterSupport	ihp	Main.hs via Main
IHP.ScriptSupport	ihp	Application/Script/Prelude.hs via Application.Script.BackfillTimesheetPayLedger
IHP.Server	ihp	Main.hs via Main
IHP.ValidationSupport.Types	ihp	Application/Helper/Controller/Input.hs via Main
IHP.ViewPrelude	ihp	Web/View/Layout.hs via Main
IHP.ViewSupport	ihp	Application/Helper/Profiling.hs via Main
Network.HTTP.Client	http-client	Application/Billing/Stripe.hs via Main
Network.HTTP.Simple	http-conduit	Application/Billing/Stripe.hs via Main
Network.HTTP.Types	http-types	Application/Helper/Profiling.hs via Main
Network.HTTP.Types.Header	http-types	Application/Helper/Profiling.hs via Main
Network.HTTP.Types.Status	http-types	Web/Controller/Prelude.hs via Main
Network.HTTP.Types.URI	http-types	Application/Billing/Stripe.hs via Main
Network.Socket	network	Config/Config.hs via Main
Network.Wai	wai	Application/Helper/Profiling.hs via Main
Network.Wai.Middleware.FlashMessages	wai-flash-messages	Application/Helper/View/Toast.hs via Main
Network.WebSockets	websockets	Web/Controller/LiveUpdates.hs via Main
Numeric	base	Application/Helper/FrontendContract/OrderedRange/Runtime.hs via Main
OpenTelemetry.Attributes	hs-opentelemetry-api	Application/Helper/Profiling.hs via Main
OpenTelemetry.Context	hs-opentelemetry-api	Application/Helper/Telemetry.hs via Main
OpenTelemetry.Context.ThreadLocal	hs-opentelemetry-api	Application/Helper/Telemetry.hs via Main
OpenTelemetry.Instrumentation.Wai	hs-opentelemetry-instrumentation-wai	Application/Helper/Telemetry.hs via Main
OpenTelemetry.Trace	hs-opentelemetry-sdk	Application/Helper/Telemetry.hs via Main
Prelude	base	Web/View/RosterWeeks/TemplatePanel.hs via Main
System.Directory	directory	Web/Controller/StaffDocuments.hs via Main
System.Environment	base	Application/Helper/LiveUpdate/DurableListener.hs via Main
System.Exit	base	Application/StaffDocuments/RsaExtraction.hs via Main
System.IO	base	Application/Helper/LiveUpdate/DurableListener.hs via Main
System.IO.Error	base	Application/Billing/Stripe.hs via Main
System.IO.Unsafe	base	Application/Helper/Profiling.hs via Main
System.Process	process	Application/StaffDocuments/RsaExtraction.hs via Main
System.Random	random	Application/Xero/ReferenceSyncJob.hs via Main
System.Timeout	base	Application/Billing/Stripe.hs via Main
Text.Blaze	blaze-markup	Application/Helper/FrontendContract/AppShell/Runtime.hs via Main
Text.Blaze.Html	blaze-html	Application/Helper/Profiling.hs via Main
Text.Blaze.Html.Renderer.Utf8	blaze-html	Application/Helper/Profiling.hs via Main
Text.Blaze.Html5	blaze-html	Web/View/Layout.hs via Main
Text.Blaze.Html5.Attributes	blaze-html	Application/Helper/FrontendContract/FeedbackDiagnostics/Runtime.hs via Main
Text.Blaze.Internal	blaze-markup	Application/Helper/FrontendContract/AppShell/Runtime.hs via Main
Text.Printf	base	Web/View/RosterTemplates/Designer.hs via Main
Text.Read	base	Application/Billing/Stripe.hs via Main
